,model_variable,study_date,L95_p,U95_p,median_p
57,02-6SY,09/11/2022,0,0,0
58,02-6SY,10/11/2022,0,0,0
59,02-6SY,11/11/2022,0,0,0
60,02-6SY,12/11/2022,0,0,0
61,02-6SY,13/11/2022,0,0,0
62,02-6SY,14/11/2022,0,0,0
63,02-6SY,15/11/2022,0,0,0
64,02-6SY,16/11/2022,0,0,0
65,02-6SY,17/11/2022,0,0,0
66,02-6SY,18/11/2022,0,0,0
67,02-6SY,19/11/2022,0,0,0
68,02-6SY,20/11/2022,0,0,0
69,02-6SY,21/11/2022,0,0,0
70,02-6SY,22/11/2022,0,0,0
71,02-6SY,23/11/2022,0,0,0
72,02-6SY,24/11/2022,0,0,0
73,02-6SY,25/11/2022,0,0,0
74,02-6SY,26/11/2022,0,0,0
75,02-6SY,27/11/2022,0,0,0
76,02-6SY,28/11/2022,0,0,0
77,02-6SY,29/11/2022,0,0,0
78,02-6SY,30/11/2022,0,0,0
79,02-6SY,01/12/2022,0,0,0
80,02-6SY,02/12/2022,0,0,0
81,02-6SY,03/12/2022,0,0,0
82,02-6SY,04/12/2022,0,0,0
83,02-6SY,05/12/2022,0,0,0
84,02-6SY,06/12/2022,0,0,0
85,02-6SY,07/12/2022,0,0,0
86,02-6SY,08/12/2022,0,0,0
87,02-6SY,09/12/2022,0,0,0
88,02-6SY,10/12/2022,0,0,0
89,02-6SY,11/12/2022,0,0,0
90,02-6SY,12/12/2022,0,0,0
91,02-6SY,13/12/2022,0,0,0
92,02-6SY,14/12/2022,0,0,0
93,02-6SY,15/12/2022,0,0,0
94,02-6SY,16/12/2022,0,0,0
95,02-6SY,17/12/2022,0,0,0
96,02-6SY,18/12/2022,0,0,0
97,02-6SY,19/12/2022,0,0,0
98,02-6SY,20/12/2022,0,0,0
99,02-6SY,21/12/2022,0,0,0
100,02-6SY,22/12/2022,0,0,0
101,02-6SY,23/12/2022,0,0,0
102,02-6SY,24/12/2022,0,0,0
103,02-6SY,25/12/2022,0,0,0
