X,study_day,visit_date,age_at_visit,region,prob,lower.CL,upper.CL
1,1,09/11/2022,2,North East,0,0,0
2,2,10/11/2022,2,North East,0,0,0
3,3,11/11/2022,2,North East,0,0,0
4,4,12/11/2022,2,North East,0,0,0
5,5,13/11/2022,2,North East,0,0,0
6,6,14/11/2022,2,North East,0,0,0
7,7,15/11/2022,2,North East,0,0,0
8,8,16/11/2022,2,North East,0,0,0
9,9,17/11/2022,2,North East,0,0,0
10,10,18/11/2022,2,North East,0,0,0
11,11,19/11/2022,2,North East,0,0,0
12,12,20/11/2022,2,North East,0,0,0
13,13,21/11/2022,2,North East,0,0,0
14,14,22/11/2022,2,North East,0,0,0
15,15,23/11/2022,2,North East,0,0,0
16,16,24/11/2022,2,North East,0,0,0
17,17,25/11/2022,2,North East,0,0,0
18,18,26/11/2022,2,North East,0,0,0
19,19,27/11/2022,2,North East,0,0,0
20,20,28/11/2022,2,North East,0,0,0
21,21,29/11/2022,2,North East,0,0,0
22,22,30/11/2022,2,North East,0,0,0
23,23,01/12/2022,2,North East,0,0,0
24,24,02/12/2022,2,North East,0,0,0
25,25,03/12/2022,2,North East,0,0,0
26,26,04/12/2022,2,North East,0,0,0
27,27,05/12/2022,2,North East,0,0,0
28,28,06/12/2022,2,North East,0,0,0
29,29,07/12/2022,2,North East,0,0,0
30,30,08/12/2022,2,North East,0,0,0
31,31,09/12/2022,2,North East,0,0,0
32,32,10/12/2022,2,North East,0,0,0
33,33,11/12/2022,2,North East,0,0,0
34,34,12/12/2022,2,North East,0,0,0
35,35,13/12/2022,2,North East,0,0,0
36,36,14/12/2022,2,North East,0,0,0
37,37,15/12/2022,2,North East,0,0,0
38,38,16/12/2022,2,North East,0,0,0
39,39,17/12/2022,2,North East,0,0,0
40,40,18/12/2022,2,North East,0,0,0
41,41,19/12/2022,2,North East,0,0,0
42,42,20/12/2022,2,North East,0,0,0
43,43,21/12/2022,2,North East,0,0,0
44,44,22/12/2022,2,North East,0,0,0
45,45,23/12/2022,2,North East,0,0,0
46,46,24/12/2022,2,North East,0,0,0
47,47,25/12/2022,2,North East,0,0,0
48,48,26/12/2022,2,North East,0,0,0
49,49,27/12/2022,2,North East,0,0,0
50,50,28/12/2022,2,North East,0,0,0
51,51,29/12/2022,2,North East,0,0,0
52,52,30/12/2022,2,North East,0,0,0
53,53,31/12/2022,2,North East,0,0,0
54,54,01/01/2023,2,North East,0,0,0
55,55,02/01/2023,2,North East,0,0,0
56,56,03/01/2023,2,North East,0,0,0
57,1,09/11/2022,3,North East,0,0,0
58,2,10/11/2022,3,North East,0,0,0
59,3,11/11/2022,3,North East,0,0,0
