Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
2020-w18,2020-W18,2020-w18,,0,,http://reference.data.gov.uk/id/week/2020-W18
2020-w19,2020-W19,2020-w19,,1,,http://reference.data.gov.uk/id/week/2020-W19
2020-w20,2020-W20,2020-w20,,2,,http://reference.data.gov.uk/id/week/2020-W20
2020-w22,2020-W22,2020-w22,,3,,http://reference.data.gov.uk/id/week/2020-W22
2020-w24,2020-W24,2020-w24,,4,,http://reference.data.gov.uk/id/week/2020-W24
2020-w26,2020-W26,2020-w26,,5,,http://reference.data.gov.uk/id/week/2020-W26
2020-w28,2020-W28,2020-w28,,6,,http://reference.data.gov.uk/id/week/2020-W28
2020-w29,2020-W29,2020-w29,,7,,http://reference.data.gov.uk/id/week/2020-W29
2020-w30,2020-W30,2020-w30,,8,,http://reference.data.gov.uk/id/week/2020-W30
2020-w31,2020-W31,2020-w31,,9,,http://reference.data.gov.uk/id/week/2020-W31
2020-w32,2020-W32,2020-w32,,10,,http://reference.data.gov.uk/id/week/2020-W32
2020-w33,2020-W33,2020-w33,,11,,http://reference.data.gov.uk/id/week/2020-W33
2020-w34,2020-W34,2020-w34,,12,,http://reference.data.gov.uk/id/week/2020-W34
2020-w35,2020-W35,2020-w35,,13,,http://reference.data.gov.uk/id/week/2020-W35
2020-w36,2020-W36,2020-w36,,14,,http://reference.data.gov.uk/id/week/2020-W36
2020-w37,2020-W37,2020-w37,,15,,http://reference.data.gov.uk/id/week/2020-W37
2020-w38,2020-W38,2020-w38,,16,,http://reference.data.gov.uk/id/week/2020-W38
2020-w39,2020-W39,2020-w39,,17,,http://reference.data.gov.uk/id/week/2020-W39
2020-w40,2020-W40,2020-w40,,18,,http://reference.data.gov.uk/id/week/2020-W40
2020-w41,2020-W41,2020-w41,,19,,http://reference.data.gov.uk/id/week/2020-W41
2020-w42,2020-W42,2020-w42,,20,,http://reference.data.gov.uk/id/week/2020-W42
2020-w43,2020-W43,2020-w43,,21,,http://reference.data.gov.uk/id/week/2020-W43
2020-w44,2020-W44,2020-w44,,22,,http://reference.data.gov.uk/id/week/2020-W44
2020-w45,2020-W45,2020-w45,,23,,http://reference.data.gov.uk/id/week/2020-W45
2020-w46,2020-W46,2020-w46,,24,,http://reference.data.gov.uk/id/week/2020-W46
2020-w47,2020-W47,2020-w47,,25,,http://reference.data.gov.uk/id/week/2020-W47
2020-w48,2020-W48,2020-w48,,26,,http://reference.data.gov.uk/id/week/2020-W48
2020-w49,2020-W49,2020-w49,,27,,http://reference.data.gov.uk/id/week/2020-W49
2020-w50,2020-W50,2020-w50,,28,,http://reference.data.gov.uk/id/week/2020-W50
2020-w51,2020-W51,2020-w51,,29,,http://reference.data.gov.uk/id/week/2020-W51
2020-w52,2020-W52,2020-w52,,30,,http://reference.data.gov.uk/id/week/2020-W52
2021-w1,2021-W1,2021-w1,,31,,http://reference.data.gov.uk/id/week/2021-W1
2021-w10,2021-W10,2021-w10,,32,,http://reference.data.gov.uk/id/week/2021-W10
2021-w11,2021-W11,2021-w11,,33,,http://reference.data.gov.uk/id/week/2021-W11
2021-w12,2021-W12,2021-w12,,34,,http://reference.data.gov.uk/id/week/2021-W12
2021-w13,2021-W13,2021-w13,,35,,http://reference.data.gov.uk/id/week/2021-W13
2021-w14,2021-W14,2021-w14,,36,,http://reference.data.gov.uk/id/week/2021-W14
2021-w15,2021-W15,2021-w15,,37,,http://reference.data.gov.uk/id/week/2021-W15
2021-w17,2021-W17,2021-w17,,38,,http://reference.data.gov.uk/id/week/2021-W17
2021-w18,2021-W18,2021-w18,,39,,http://reference.data.gov.uk/id/week/2021-W18
2021-w19,2021-W19,2021-w19,,40,,http://reference.data.gov.uk/id/week/2021-W19
2021-w2,2021-W2,2021-w2,,41,,http://reference.data.gov.uk/id/week/2021-W2
2021-w20,2021-W20,2021-w20,,42,,http://reference.data.gov.uk/id/week/2021-W20
2021-w21,2021-W21,2021-w21,,43,,http://reference.data.gov.uk/id/week/2021-W21
2021-w22,2021-W22,2021-w22,,44,,http://reference.data.gov.uk/id/week/2021-W22
2021-w23,2021-W23,2021-w23,,45,,http://reference.data.gov.uk/id/week/2021-W23
2021-w24,2021-W24,2021-w24,,46,,http://reference.data.gov.uk/id/week/2021-W24
2021-w25,2021-W25,2021-w25,,47,,http://reference.data.gov.uk/id/week/2021-W25
2021-w26,2021-W26,2021-w26,,48,,http://reference.data.gov.uk/id/week/2021-W26
2021-w27,2021-W27,2021-w27,,49,,http://reference.data.gov.uk/id/week/2021-W27
2021-w28,2021-W28,2021-w28,,50,,http://reference.data.gov.uk/id/week/2021-W28
2021-w29,2021-W29,2021-w29,,51,,http://reference.data.gov.uk/id/week/2021-W29
2021-w3,2021-W3,2021-w3,,52,,http://reference.data.gov.uk/id/week/2021-W3
2021-w30,2021-W30,2021-w30,,53,,http://reference.data.gov.uk/id/week/2021-W30
2021-w31,2021-W31,2021-w31,,54,,http://reference.data.gov.uk/id/week/2021-W31
2021-w32,2021-W32,2021-w32,,55,,http://reference.data.gov.uk/id/week/2021-W32
2021-w33,2021-W33,2021-w33,,56,,http://reference.data.gov.uk/id/week/2021-W33
2021-w34,2021-W34,2021-w34,,57,,http://reference.data.gov.uk/id/week/2021-W34
2021-w35,2021-W35,2021-w35,,58,,http://reference.data.gov.uk/id/week/2021-W35
2021-w36,2021-W36,2021-w36,,59,,http://reference.data.gov.uk/id/week/2021-W36
2021-w37,2021-W37,2021-w37,,60,,http://reference.data.gov.uk/id/week/2021-W37
2021-w38,2021-W38,2021-w38,,61,,http://reference.data.gov.uk/id/week/2021-W38
2021-w39,2021-W39,2021-w39,,62,,http://reference.data.gov.uk/id/week/2021-W39
2021-w4,2021-W4,2021-w4,,63,,http://reference.data.gov.uk/id/week/2021-W4
2021-w40,2021-W40,2021-w40,,64,,http://reference.data.gov.uk/id/week/2021-W40
2021-w41,2021-W41,2021-w41,,65,,http://reference.data.gov.uk/id/week/2021-W41
2021-w42,2021-W42,2021-w42,,66,,http://reference.data.gov.uk/id/week/2021-W42
2021-w43,2021-W43,2021-w43,,67,,http://reference.data.gov.uk/id/week/2021-W43
2021-w44,2021-W44,2021-w44,,68,,http://reference.data.gov.uk/id/week/2021-W44
2021-w45,2021-W45,2021-w45,,69,,http://reference.data.gov.uk/id/week/2021-W45
2021-w46,2021-W46,2021-w46,,70,,http://reference.data.gov.uk/id/week/2021-W46
2021-w47,2021-W47,2021-w47,,71,,http://reference.data.gov.uk/id/week/2021-W47
2021-w48,2021-W48,2021-w48,,72,,http://reference.data.gov.uk/id/week/2021-W48
2021-w49,2021-W49,2021-w49,,73,,http://reference.data.gov.uk/id/week/2021-W49
2021-w5,2021-W5,2021-w5,,74,,http://reference.data.gov.uk/id/week/2021-W5
2021-w50,2021-W50,2021-w50,,75,,http://reference.data.gov.uk/id/week/2021-W50
2021-w51,2021-W51,2021-w51,,76,,http://reference.data.gov.uk/id/week/2021-W51
2021-w52,2021-W52,2021-w52,,77,,http://reference.data.gov.uk/id/week/2021-W52
2021-w53,2021-W53,2021-w53,,78,,http://reference.data.gov.uk/id/week/2021-W53
2021-w6,2021-W6,2021-w6,,79,,http://reference.data.gov.uk/id/week/2021-W6
2021-w7,2021-W7,2021-w7,,80,,http://reference.data.gov.uk/id/week/2021-W7
2021-w8,2021-W8,2021-w8,,81,,http://reference.data.gov.uk/id/week/2021-W8
2021-w9,2021-W9,2021-w9,,82,,http://reference.data.gov.uk/id/week/2021-W9
2022-w1,2022-W1,2022-w1,,83,,http://reference.data.gov.uk/id/week/2022-W1
